order_id,employee_id,order_date,amount,status,customer_name
1001,2,2024-01-15,15000.50,COMPLETED,Acme Corp
1002,4,2024-01-20,8200.00,COMPLETED,TechStart Inc
1003,8,2024-02-01,22000.75,PENDING,Global Systems
1004,2,2024-02-10,5500.00,COMPLETED,Acme Corp
1005,14,2024-02-15,31000.00,COMPLETED,DataFlow LLC
1006,4,2024-03-01,12800.25,CANCELLED,TechStart Inc
1007,20,2024-03-10,9100.00,COMPLETED,CloudNine Co
1008,8,2024-03-15,18500.50,PENDING,Global Systems
1009,2,2024-04-01,7200.00,COMPLETED,Acme Corp
1010,14,2024-04-10,42000.00,COMPLETED,DataFlow LLC
